idx,class,conversation
0,일반 대화,"너 또 그 얘기 하냐? 지겹지도 않아?
내 말이 틀려? 네가 그때 그렇게만 안 했어도 일이 이렇게 꼬이진 않았어.
과거에 얽매여서 사는 거 진짜 피곤한 스타일인 거 알아?
과거를 교훈 삼자는 게 뭐가 어때서. 넌 너무 쉽게 잊어.
미쳤냐? 그럼 평생 과거만 붙들고 살래? 발전이 없어, 너.
발전? 너처럼 아무 생각 없이 사는 게 발전이야?
됐고, 그 얘기 또 꺼내면 진짜 너랑 상종 안 한다.
상종 안 하긴 뭘 안 해. 네가 잘못한 건 맞잖아.
아, 진짜 짜증 나게 하네.
왜, 찔리냐?"
1,일반 대화,"네가 내 비밀을 어떻게 걔한테 말할 수가 있어?
아니, 그게 비밀이었어? 난 그냥 일상적인 얘기인 줄 알았지.
내가 너한테만 말하는 거라고 신신당부했잖아. 기억 안 나?
아... 그랬나? 미안, 내가 술 마시고 얘기해서 헷갈렸나 봐.
술? 술이 핑계가 돼? 넌 그냥 입이 싸구려인 거야.
말이 너무 심하잖아. 내가 일부러 그런 것도 아닌데.
네 부주의함 때문에 내가 얼마나 곤란해졌는지 알아?
정말 미안하다. 내가 걔한테 가서 다시 얘기할게.
됐어, 뭘 더 망치려고. 그냥 앞으로 나한테 아는 척하지 마.
야, 진짜 너무하네. 사과했잖아!"
2,일반 대화,"너는 보드게임 하나 하는데 왜 이렇게 목숨을 거냐?
게임은 이기려고 하는 거지, 그럼 지려고 하냐?
친구끼리 재밌자고 하는 건데 분위기 파악 좀 해. 정색하고 달려드니까 정떨어져.
네가 하도 못해서 답답해서 그런다, 왜. 룰은 제대로 알고 하는 거야?
뭐? 야, 너 말 다했냐?
틀린 말 아니잖아. 너 때문에 게임 흐름 다 끊긴다고.
됐어, 더러워서 안 해. 너 혼자 다 해 먹어라.
그래, 제발. 너 같은 초보랑 하느니 혼자 하는 게 나아.
진짜 재수 없는 놈.
못하는 놈이 꼭 성질만 더럽더라."
3,일반 대화,"네가 새로 사귄다는 애, 사진 봤는데 솔직히 진짜 별로다.
네가 뭔데 내 애인을 평가해? 네가 보기에 별로면 뭐 어쩔 건데.
아니, 그냥... 너한테 너무 과분한 사람 같아서.
뭐? 그게 무슨 소리야. 지금 나 돌려까는 거냐?
아니, 그런 뜻이 아니라... 아무튼 너랑은 급이 안 맞는 것 같다고.
야, 너 질투 나서 그러는 거지? 내가 좋은 사람 만나니까 배 아파?
미쳤냐? 내가 너를 왜 질투해. 그냥 친구로서 걱정돼서 하는 말이지.
그딴 걱정 필요 없으니까 네 앞가림이나 잘해.
알았어, 이놈아. 나중에 차이고 울면서 전화하지나 마.
그럴 일 없거든? 꺼져."
4,일반 대화,"네가 뭔데 우리 부모님 얘기를 그렇게 함부로 해?
내가 뭘 어쨌다고. 그냥 너희 부모님 좀 특이하시다고 했지.
그게 함부로 한 거잖아. 네가 우리 가족에 대해 뭘 안다고.
왜 그렇게 예민하게 반응해? 나쁜 뜻으로 한 말 아니야.
나쁜 뜻이 아니면 뭔데? 네 눈에는 그게 재밌어 보여?
아니, 그냥... 너랑 다르시니까 신기해서.
됐고, 한 번만 더 우리 가족 얘기 그따위로 하면 너 다시는 안 봐.
알았어, 알았어. 내가 죽을죄를 졌다.
아는 놈이 그러면 더 나빠.
진짜 피곤하게 산다, 너."
5,일반 대화,"너는 왜 돈을 빌려 갔으면 갚을 생각을 안 해?
아, 맞다. 깜빡했다. 조만간 줄게.
그 조만간이 언젠데. 지난달에도 그 소리 했어.
이번엔 진짜야. 월급날 바로 쏜다.
됐고, 그냥 지금 보내. 너 같은 놈은 신용이 없어서 안돼.
나 지금 진짜 돈 없는데 어떡하라고. 배 째?
네 사정이지. 돈 없을 거 생각 안 하고 빌려 간 네 잘못이잖아.
야, 친구 사이에 너무 빡빡하게 구는 거 아니냐?
친구니까 이 정도로 끝나는 거야. 다른 사람이었으면 진작에 머리채 잡았어.
더러워서 준다, 더러워서.
진작 줬으면 좋았잖아."
6,일반 대화,"네가 추천해준 맛집, 진짜 최악이었어. 다신 네 말 안 믿어.
뭐? 거기 완전 핫플레이스인데? 네 입맛이 이상한 거 아니야?
내 입맛이 아니라 거기 위생이 이상하던데. 바퀴벌레 기어 다니는 거 봤어.
설마. 잘못 봤겠지. 거기가 얼마나 깨끗한데.
내가 헛것을 봤겠냐? 그리고 음식에서는 머리카락도 나왔어.
아, 진짜? 그건 좀 심했네. 주인한테 말하지 그랬어.
말했지. 근데 원래 그럴 수 있다는 식으로 대충 사과하고 끝이더라.
그런 곳을 나한테 추천한 거야? 너 진짜 나한테 억하심정 있냐?
아니, 나는 진짜 괜찮은 곳인 줄 알고...
됐어, 너랑은 다신 밥 안 먹어. 네가 가자는 곳은 무조건 거른다."
7,일반 대화,"너는 왜 남의 단점을 그렇게 웃으면서 얘기해? 재밌어?
아니, 그냥 귀여워서 그렇지. 놀리는 거 아니야.
귀여워? 내 콤플렉스가 너한테는 귀여워 보여?
왜 그렇게 꼬아서 들어. 나는 그냥 친근감의 표시다.
그딴 친근감 필요 없거든? 네딴에는 장난이겠지만 당사자는 상처받는다고.
알았어, 미안. 내가 생각이 짧았다.
생각이 짧은 게 아니라 그냥 개념이 없는 거야.
야, 사과했는데 말이 너무 심한 거 아니냐?
사과하면 다야? 네가 뱉은 말이 사라져?
아, 진짜 대화 안 통하네. 너랑 말 안 해."
8,일반 대화,"네가 뭔데 내 물건을 허락도 없이 써?
아, 이거? 그냥 잠깐 쓴 건데. 뭘 그렇게 화를 내.
잠깐? 내가 아끼는 만년필인데 잉크 다 쓴 거 실화냐?
네가 너무 예민한 거야. 만년필 하나 가지고.
예민? 이건 내 돈 주고 산 내 물건이야. 네 물건 아니라고.
알았어, 알았어. 내가 똑같은 걸로 사주면 될 거 아니야.
됐어. 네가 사주는 건 더러워서 쓰기 싫어. 그냥 내 물건에 손대지 마.
와, 진짜 치사하다. 친구끼리 그럴 수도 있지.
너 같은 친구 둔 적 없는데?
뭐? 너 진짜 말 다했냐?"
9,일반 대화,"너는 왜 맨날 남 탓만 해? 네 잘못은 하나도 없어?
내 잘못? 이번 일은 명백히 네가 실수한 거잖아.
내가 실수한 건 맞는데, 네가 옆에서 제대로 알려줬으면 됐을 거 아니야.
내가 네 비서야? 하나부터 열까지 다 챙겨주게?
비서가 아니라 팀원이잖아. 최소한의 책임감도 없어?
책임감? 네 할 일도 제대로 못 하는 주제에 누구한테 책임감을 논해.
와, 너 진짜 말하는 싸가지 하고는.
너는 행동하는 싸가지가 그 모양인데, 뭘.
됐어, 너랑은 상종 못 하겠다.
나도 너 같은 무능한 애랑은 말 섞기 싫어."
