idx,class,conversation
3950,일반 대화,"어제 그 영화 봤어? 진짜 재밌더라.
아, 그거? 나도 보고 싶었는데 어땠어?
완전 내 스타일이었어. 배우들 연기도 좋고 스토리도 탄탄하고.
그래? 그럼 나도 이번 주말에 보러 가야겠다.
응 꼭 봐. 후회 안 할 거야.
같이 볼 사람이나 찾아봐야겠다."
3951,일반 대화,"주말에 새로 생긴 파스타 집 가봤어?
아니, 어땠어? 맛있었어?
응, 크림 파스타가 진짜 맛있더라. 소스가 엄청 진하고 고소했어.
와, 진짜? 나 크림 파스타 엄청 좋아하는데!
그럼 너도 꼭 가봐. 웨이팅이 좀 길긴 한데 기다릴 만해.
알겠어. 이번 주에 친구랑 가봐야겠다."
3952,일반 대화,"새로 산 노트북 어때? 괜찮아?
응, 완전 만족스러워. 가볍고 배터리도 오래가서 좋아.
진짜? 나도 노트북 바꿀 때 됐는데. 모델명 좀 알려줘.
그래. 내가 링크 보내줄게. 너도 마음에 들 거야.
고마워. 한번 찾아봐야겠다.
궁금한 거 있으면 또 물어봐."
3953,일반 대화,"우리 다음 달에 제주도 가는 거 계획 짜야지.
좋아. 비행기 표는 내가 알아볼게.
나는 숙소 알아볼게. 가고 싶은 곳 있어?
음, 바다 보이는 숙소면 좋겠어.
알겠어. 그럼 해변 근처로 찾아볼게.
좋아. 계획 짜니까 벌써 설렌다."
3954,일반 대화,"나 요즘 너무 피곤하고 무기력해.
왜? 무슨 일 있어?
그냥 다 재미없고 의욕이 안 생겨. 번아웃인가 봐.
너무 무리해서 그런 거 아니야? 좀 쉬어야 할 것 같아.
그런가? 주말에는 아무것도 안 하고 푹 쉬어봐야겠다.
그래. 너무 스트레스 받지 말고. 힘내."
3955,일반 대화,"우리 집 강아지 진짜 똑똑한 것 같아.
왜? 뭐 했는데?
어제는 내가 리모컨 찾고 있었는데 물어다 줬어.
와, 진짜? 완전 천재견이네.
그치? 너무 사랑스러워.
나도 강아지 키우고 싶다."
3956,일반 대화,"나 요즘 베이킹 시작했어.
오, 진짜? 재밌어?
응. 생각보다 어렵지 않고 재밌더라. 어제는 쿠키 만들었어.
와, 대단하다. 나도 한번 먹어보고 싶다.
그래? 다음에 만들어서 가져다줄게.
진짜? 너무 좋다. 기대하고 있을게."
3957,일반 대화,"요즘 건강 관리는 어떻게 해?
나는 매일 아침에 조깅하고 있어.
대단하다. 나는 숨쉬기 운동만 하는데.
너도 같이 할래? 아침 공기 마시면서 뛰면 상쾌해.
음, 한번 생각해볼게. 내일부터 도전해볼까?
그래. 같이 하면 더 재밌을 거야."
3958,일반 대화,"이 노래 진짜 좋다. 요즘 맨날 이것만 들어.
어디서 찾았어? 나도 들어봐야지.
유튜브에서 우연히 발견했어. 목소리가 너무 매력적이야.
아, 근데 갑자기 배고프다. 우리 밥 먹으러 갈래?
좋아. 뭐 먹을까?
근처에 새로 생긴 덮밥집 있는데 거기 가보자."
3959,일반 대화,"오늘 날씨 진짜 좋다. 완전 봄 날씨네.
그러게. 이런 날에는 놀러 가야 하는데.
맞아. 이번 주말에 뭐 해?
아직 별다른 계획 없는데. 너는?
나도 없어. 그럼 우리 주말에 근교로 드라이브 갈래?
좋아! 어디로 갈지 정해보자."
3960,일반 대화,"김 대리님 일 진짜 잘하지 않아?
맞아. 꼼꼼하고 일 처리도 빨라.
이번 프로젝트도 김 대리님 덕분에 살았어.
인정. 우리도 보고 배워야 해.
그나저나 우리 저녁 뭐 먹지?
간단하게 김밥이나 먹을까?"
3961,일반 대화,"어제 새로 시작한 드라마 봤어?
응, 봤어. 완전 내 스타일이야.
그치? 여주인공 너무 예쁘고 연기도 잘해.
맞아. 다음 주까지 어떻게 기다리지?
그러게 말이야. 빨리 다음 화 보고 싶다.
OST도 좋아서 계속 듣고 있어."
3962,일반 대화,"요즘 새로 나온 게임 해봤어?
아니, 무슨 게임인데?
이번에 나온 롤플레잉 게임인데 그래픽이 장난 아니야.
진짜? 나도 롤플레잉 좋아하는데.
주말에 같이 피시방 갈래?
좋아. 마침 주말에 약속도 없는데."
3963,일반 대화,"요즘 주식 시장 너무 안 좋은 것 같아.
맞아. 내 주식도 다 파란불이야.
언제쯤 다시 오를까? 너무 걱정돼.
존버가 답이겠지? 언젠가는 오르지 않을까?
그랬으면 좋겠다. 매일 아침마다 주식 앱 보기 무서워.
우리 그냥 한동안 주식 앱 보지 말자."
3964,일반 대화,"너 MBTI 뭐야?
나 INFP. 너는?
나는 ENTP. 우리 완전 반대네.
어쩐지 너랑은 가끔 말이 안 통하더라.
그래도 반대라서 더 끌리는 거 아니겠어?
그런가? 아무튼 신기하다."
3965,일반 대화,"요즘 이 유튜버 영상만 봐.
누군데? 먹방 유튜버야?
아니, 여행 유튜버인데 영상미가 장난 아니야.
오, 진짜? 나도 여행 브이로그 좋아하는데.
내가 채널 링크 보내줄게. 너도 분명 좋아할 거야.
고마워. 구독하고 봐야겠다."
3966,일반 대화,"최근에 읽은 책 있어?
응, 이번에 베스트셀러인 소설 읽었는데 너무 재밌었어.
무슨 내용인데?
추리 소설인데 반전이 장난 아니야.
그래? 나도 추리 소설 좋아하는데.
너도 꼭 읽어봐. 완전 추천이야."
3967,일반 대화,"나 다이어트 시작했어.
진짜? 어떻게 하고 있는데?
저녁에는 샐러드만 먹고 있어.
대단하다. 나는 저녁 굶는 건 상상도 못 해.
아직은 할 만해. 꼭 살 빼서 여름에 비키니 입을 거야.
멋지다. 꼭 성공하길 바랄게."
3968,일반 대화,"우리 학창 시절 때 진짜 재밌었는데.
맞아. 맨날 떡볶이 사 먹고 노래방 가고.
그때로 다시 돌아가고 싶다.
그러게. 지금은 다들 먹고살기 바쁘네.
우리 조만간 동창회 한번 할까?
좋아. 내가 애들한테 연락 돌려볼게."
3969,일반 대화,"나 드디어 헬스장 등록했어.
오, 진짜? 드디어 운동 시작하는 거야?
응. 더 이상은 안 되겠다 싶어서 큰맘 먹고 등록했어.
잘 생각했어. 꾸준히 다니는 게 중요해.
너도 같이 다닐래? 혼자 하면 심심할 것 같아.
나는 이미 다니는 곳 있어서. 그래도 응원할게!"
3970,일반 대화,"주말에 등산 갈래?
좋아. 어디로 갈까?
가까운 북한산 어때? 코스도 다양하고 좋대.
콜. 몇 시에 만날까?
아침 8시쯤 만나서 출발하자.
오케이. 김밥이랑 물은 내가 챙겨갈게."
3971,일반 대화,"이 근처에 괜찮은 카페 아는 데 있어?
응, 저기 골목으로 들어가면 새로 생긴 카페 있는데 분위기 좋아.
그래? 커피는 맛있어?
응, 원두도 직접 로스팅해서 신선하고 맛있어.
그럼 거기로 가자. 디저트도 팔았으면 좋겠다.
케이크도 종류별로 다 맛있어. 빨리 가자."
3972,일반 대화,"나 다음 달에 해외여행 가려고.
우와, 좋겠다. 어디로 가는데?
아직 못 정했어. 어디가 좋을까?
요즘은 베트남 다낭 많이 가더라. 물가도 싸고 좋대.
다낭? 괜찮은데? 한번 알아봐야겠다.
나도 작년에 다녀왔는데 너무 좋았어. 완전 추천이야."
